subject,custom_identifier,label,format,date_text,year_published_from,year_published_to,place,book_type,coordinates,languages,authors,publishers
http://sphaera.mpiwg-berlin.mpg.de/id/item/7276cc19-5b92-4739-afbf-c0c99cb9bff3,2180,De sphaera et primis astronomiae rudimentis libellus,Octavo,,1576,1576,Wittenberg,Adaption (treatise strongly influenced by original tract),"51.8671, 12.6484",Latin,"Blebel, Thomas","Welack, Matthaeus"
http://sphaera.mpiwg-berlin.mpg.de/id/item/18adfee5-2499-4efa-866f-cb5f1cdd1944,2169,"Elementa doctrinae de circulis coelestibus, et primo motu, recognita et correcta",Octavo,,1576,1576,Wittenberg,Adaption (treatise strongly influenced by original tract),"51.8671, 12.6484",Latin,"Peucer, Kaspar","Krafft the Elder, Johann"
http://sphaera.mpiwg-berlin.mpg.de/id/item/757e6307-88f6-4a0e-95d9-50f46248bd28,2221,The Arte of Navigation,Quarto,[1576],1576,1576,London,Adaption (treatise strongly influenced by original tract),"51.507222222, -0.1275",English,"Cortès, Martin;Eden, Richard","Jugge, Richard"
http://sphaera.mpiwg-berlin.mpg.de/id/item/ef84b302-6e36-49ef-8ba1-b0de8456bc6d,1734,Sphaera Ioannis de Sacrobusto,Octavo,,1577,1577,Venice,Compilation of texts,"45.43713, 12.33265",Latin,"Sacrobosco, Johannes de",Heirs of Melchiorre Sessa I.
http://sphaera.mpiwg-berlin.mpg.de/id/item/1dac3b48-7793-4d0c-8d35-bf74e7f39617,1851,"Fr. Iunctini Florentini, sacrae theologiae doctoris, Commentaria in tertium et quartum capitulum Sphaerae Io. de Sacro Bosco",Octavo,,1577,1577,Lyon,Annotated original text and compilation of texts,"45.758888888, 4.841388888",Latin,"Sacrobosco, Johannes de;Giuntini, Francesco","Tinghi, Philippe"
http://sphaera.mpiwg-berlin.mpg.de/id/item/9aaa7214-18b1-4d90-bb4f-a71302baf49b,2203,Fr. Iunctini Florentini Commentaria in Sphaeram Ioannis de Sacro Bosco accuratissima,Octavo,,1577,1577,Lyon,Annotated original text,"45.758888888, 4.841388888",Latin,"Sacrobosco, Johannes de;Giuntini, Francesco","Tinghi, Philippe"
http://sphaera.mpiwg-berlin.mpg.de/id/item/fa127188-5e05-4168-9f01-46861bc369e6,1970,"Sphaera Ioannis De Sacro Bosco, Emendata",Octavo,,1577,1577,Paris,Annotated original text and compilation of texts,"48.856577777, 2.351827777",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Nunes, Pedro;Valeriano, Pierio","Marnef, Jérôme de;Widow of Guillaume Cavellat (Denise de Marnef)"
http://sphaera.mpiwg-berlin.mpg.de/id/item/4208960a-b432-418f-8f72-8dc5c556b928,1852,"Fr. Iunctini Florentini, sacrae theologiae doctoris, Commentaria in Sphaeram Ioannis de Sacro Bosco accuratissima",Octavo,,1578,1578,Lyon,Annotated original text,"45.758888888, 4.841388888",Latin,"Sacrobosco, Johannes de;Giuntini, Francesco","Tinghi, Philippe"
http://sphaera.mpiwg-berlin.mpg.de/id/item/915c0040-e374-46d0-b3a7-91e4024100e0,1855,"Sphaera Ioannis de Sacro Bosco, emendata a Fr. Iunctino Theologo Florentino",Octavo,,1578,1578,Lyon,Annotated original text and compilation of texts,"45.758888888, 4.841388888",Latin,"Sacrobosco, Johannes de;Vinet, Élie;Giuntini, Francesco","Tinghi, Philippe"
http://sphaera.mpiwg-berlin.mpg.de/id/item/ed36a81b-f8a3-4bb9-b2b0-3c4ae973e01e,1898,Iohannis de Sacro Busto libellus de sphaera,Octavo,,1578,1578,Wittenberg,Annotated original text and compilation of texts,"51.8671, 12.6484",Latin,"Sacrobosco, Johannes de;Melanchthon, Philipp",Heirs of Peter I. Seitz
http://sphaera.mpiwg-berlin.mpg.de/id/item/79c8f7f0-79ca-40fa-8732-1de6309a344f,2162,Novae quaestiones sphaerae,Octavo,,1578,1578,Wittenberg,Adaption (treatise strongly influenced by original tract),"51.8671, 12.6484",Latin,"Dietrich, Sebastian","Krafft the Elder, Johann"
http://sphaera.mpiwg-berlin.mpg.de/id/item/239e72cb-9092-48e5-bdd7-d9243d333b66,1936,"La sfera di messer Giovanni Sacrobosco tradotta, emendata, & distinta in Capitoli",Quarto,,1579,1579,Florence,Annotated original text,"43.771388888, 11.254166666",Italian,"Sacrobosco, Johannes de;Danti, Piervincenzo","Giunta, Jacopo"
http://sphaera.mpiwg-berlin.mpg.de/id/item/46828306-07eb-43bd-a9bd-0f2463bd7f8d,2225,The Arte of Navigation,Quarto,,1579,1579,London,Adaption (treatise strongly influenced by original tract),"51.507222222, -0.1275",English,"Cortès, Martin;Eden, Richard","Jugge, Richard;Widow of Richard Jugge (Joan Jugge)"
http://sphaera.mpiwg-berlin.mpg.de/id/item/a1b6b399-b195-4425-82f6-bc653a844da6,1919,La sfera del mondo di M. Alessandro Piccolomini,Octavo,,1579,1579,Venice,Adaption (treatise strongly influenced by original tract),"45.43713, 12.33265",Italian,"Piccolòmini, Alessandro",Giovanni Varisco & company
http://sphaera.mpiwg-berlin.mpg.de/id/item/090bb04b-3a3b-478c-ab52-09f0f04690b0,2262,Isagoge sphaerica,Octavo,,1580,1580,Lemgo,Adaption (treatise strongly influenced by original tract),"52.027222222, 8.911666666",Latin,"Scribonius, Wilhelm Adolf","Grothe, Konrad"
http://sphaera.mpiwg-berlin.mpg.de/id/item/e75806eb-a6d9-4d23-81cc-25810966efaa,2242,Isagoge sphaerica methodice,Octavo,,1580,1580,Frankfurt (Main),Adaption (treatise strongly influenced by original tract),"50.113611111, 8.679722222",Latin,"Scribonius, Wilhelm Adolf","Wechel, André"
http://sphaera.mpiwg-berlin.mpg.de/id/item/7f569351-eecf-43e0-93dc-01790080c3fa,1737,Sphaera Ioannis de Sacrobusto,Octavo,,1580,1580,Venice,Compilation of texts,"45.43713, 12.33265",Latin,"Sacrobosco, Johannes de",Heirs of Melchiorre Sessa I.
http://sphaera.mpiwg-berlin.mpg.de/id/item/0a8d48d3-7224-4b43-bd8d-f9ddbf019caf,1807,Christophori Clavii Bambergensis ex Societate Iesu in Sphaeram Ioannis de Sacro Bosco commentarius,Quarto,,1581,1581,Rome,Annotated original text,"41.893055555, 12.482777777",Latin,"Sacrobosco, Johannes de;Clavius, Christoph","Zanetti, Francesco;Basa, Domenico"
